date,open,high,low,close,volume
2021-02-16 09:15:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 09:20:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 09:25:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 09:30:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 09:35:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 09:40:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 09:45:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 09:50:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 09:55:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:00:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:05:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:10:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:15:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:20:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:25:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:30:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:35:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:40:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:50:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 10:55:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:05:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:10:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:15:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:20:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:25:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:30:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:35:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:40:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:45:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:50:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 11:55:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:00:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:05:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:10:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:15:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:20:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:25:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:30:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:35:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:40:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:45:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:50:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 12:55:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 13:00:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 13:05:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 13:10:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 13:15:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 13:25:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 13:30:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 13:45:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 13:50:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 13:55:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 14:00:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 14:05:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 14:10:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 14:20:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 14:25:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 14:35:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 14:45:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 14:50:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 15:05:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 15:10:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 15:15:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 15:20:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-16 15:25:00+05:30,16.55,16.55,16.55,16.55,0
2021-02-17 13:50:00+05:30,19.85,19.85,19.85,19.85,90
2021-02-17 13:55:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:00:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:10:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:15:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:20:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:25:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:30:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:35:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:40:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:45:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:50:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 14:55:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 15:00:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 15:05:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 15:10:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 15:15:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 15:20:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-17 15:25:00+05:30,19.85,19.85,19.85,19.85,0
2021-02-18 09:15:00+05:30,23.85,23.85,23.85,23.85,23
2021-02-18 09:20:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 09:25:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 09:30:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 09:35:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 09:40:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 09:45:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 09:50:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 09:55:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:00:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:05:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:10:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:15:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:20:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:25:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:30:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:35:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:40:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:45:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:50:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 10:55:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:00:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:05:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:10:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:15:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:20:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:25:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:30:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:35:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:40:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:45:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:50:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 11:55:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:00:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:05:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:10:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:15:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:20:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:25:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:30:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:40:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:45:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:50:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 12:55:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:00:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:05:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:10:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:15:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:20:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:25:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:30:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:35:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:40:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:45:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:50:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 13:55:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:00:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:05:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:10:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:15:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:20:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:25:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:30:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:35:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:40:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:45:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:50:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 14:55:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 15:00:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 15:05:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 15:10:00+05:30,23.85,23.85,23.85,23.85,0
2021-02-18 15:15:00+05:30,23.85,23.85,23.85,23.85,0
