date,open,high,low,close,volume
2016-01-11 09:15:00+05:30,6.0,6.0,6.0,6.0,174
2016-01-11 09:20:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 09:25:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 09:30:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 09:35:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 09:40:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 09:45:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 09:50:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 09:55:00+05:30,6.0,6.0,6.0,6.0,1
2016-01-11 10:00:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 10:05:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 10:10:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 10:15:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 10:20:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 10:25:00+05:30,6.0,6.0,6.0,6.0,100
2016-01-11 10:30:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 10:35:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 10:40:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 10:45:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 10:50:00+05:30,6.0,6.0,6.0,6.0,500
2016-01-11 10:55:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:00:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:05:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:10:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:15:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:20:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:25:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:30:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:35:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:40:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:45:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:50:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 11:55:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:00:00+05:30,6.0,6.0,6.0,6.0,1102
2016-01-11 12:05:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:10:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:15:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:20:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:25:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:30:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:35:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:40:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:45:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:50:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 12:55:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:00:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:05:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:10:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:15:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:20:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:25:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:30:00+05:30,6.0,6.0,6.0,6.0,1945
2016-01-11 13:35:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:40:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:45:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:50:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 13:55:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:00:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:05:00+05:30,6.0,6.0,6.0,6.0,100
2016-01-11 14:10:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:15:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:20:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:25:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:30:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:35:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:40:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:45:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:50:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 14:55:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 15:00:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 15:05:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 15:10:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 15:15:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 15:20:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-11 15:25:00+05:30,6.0,6.0,6.0,6.0,0
2016-01-12 09:45:00+05:30,6.3,6.3,6.3,6.3,1800
2016-01-12 09:50:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 09:55:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:00:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:05:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:10:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:15:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:20:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:25:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:30:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:35:00+05:30,6.3,6.3,6.3,6.3,195
2016-01-12 10:40:00+05:30,6.3,6.3,6.3,6.3,100
2016-01-12 10:45:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:50:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 10:55:00+05:30,6.3,6.3,6.3,6.3,0
2016-01-12 11:00:00+05:30,6.3,6.3,6.3,6.3,1102
2016-01-12 11:05:00+05:30,6.3,6.3,6.3,6.3,0
